epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5758,1.28963,1.93335,1.35481,0.86114,0.82689,0.91619,0.57633,1.04612,1.92486,1.24943,0.00062,0.00062,0.00062
2,110.857,1.29633,1.4931,1.39381,0.57084,0.73333,0.60588,0.23405,1.71133,2.27516,1.87194,0.00123505,0.00123505,0.00123505
3,166.022,1.30294,1.48524,1.42154,0.30199,0.2963,0.19574,0.06315,2.30227,2.98611,2.45716,0.00182476,0.00182476,0.00182476
4,221.017,1.42515,1.41405,1.46037,0.35116,0.60537,0.43797,0.20304,1.8172,5.31253,1.9314,0.0018812,0.0018812,0.0018812
5,276.649,1.37963,1.37574,1.45043,0.67181,0.81882,0.80831,0.48404,1.18817,2.22106,1.39528,0.0018416,0.0018416,0.0018416
6,332.024,1.24005,1.20971,1.35751,0.54876,0.61481,0.61744,0.33484,1.52267,1.70904,1.58921,0.001802,0.001802,0.001802
7,387.438,1.27528,1.18034,1.40066,0.85325,0.92593,0.91094,0.6166,0.98034,1.3945,1.14399,0.0017624,0.0017624,0.0017624
8,444.715,1.30966,1.20507,1.41066,0.85634,0.81481,0.84486,0.58607,1.07687,1.0371,1.21195,0.0017228,0.0017228,0.0017228
9,501.993,1.19229,1.09798,1.35122,0.70479,0.8963,0.83477,0.52227,1.23565,1.10368,1.31477,0.0016832,0.0016832,0.0016832
10,558.925,1.16061,1.00568,1.34943,0.77011,0.94293,0.90052,0.63991,0.97781,0.93683,1.13328,0.0016436,0.0016436,0.0016436
11,615.134,1.14187,0.99165,1.31786,0.86635,0.96032,0.92629,0.67705,0.88895,0.81656,1.10132,0.001604,0.001604,0.001604
12,670.101,1.15578,0.98287,1.32762,0.90164,0.9506,0.94762,0.72538,0.76395,0.70728,1.0426,0.0015644,0.0015644,0.0015644
13,724.931,1.13859,1.02059,1.3475,0.87871,0.92593,0.90943,0.68342,0.81993,0.74827,1.06107,0.0015248,0.0015248,0.0015248
14,781.28,1.10612,0.93332,1.31268,0.90841,0.95511,0.92799,0.69579,0.79504,0.73313,1.04021,0.0014852,0.0014852,0.0014852
15,840.068,1.1002,0.98977,1.2939,0.90625,0.92593,0.93679,0.69759,0.81952,0.70076,1.0617,0.0014456,0.0014456,0.0014456
16,895.376,1.10504,0.96204,1.29138,0.89472,0.94429,0.93914,0.73051,0.76934,0.63353,1.01458,0.001406,0.001406,0.001406
17,950.396,1.01959,0.8984,1.26037,0.88111,0.93324,0.92041,0.67981,0.86796,0.65331,1.09906,0.0013664,0.0013664,0.0013664
18,1005.08,1.03385,0.89086,1.26237,0.88209,0.83125,0.8982,0.63513,1.00828,0.83962,1.17008,0.0013268,0.0013268,0.0013268
19,1059.76,0.99998,0.86601,1.2382,0.91692,0.92593,0.93942,0.73104,0.78965,0.62947,1.01416,0.0012872,0.0012872,0.0012872
20,1114.5,1.03131,0.87617,1.25107,0.87194,0.97778,0.92093,0.70165,0.83019,0.63182,1.05257,0.0012476,0.0012476,0.0012476
21,1169.15,1.00012,0.82745,1.25059,0.89097,0.96849,0.93976,0.73988,0.75043,0.60728,1.03507,0.001208,0.001208,0.001208
22,1224.27,1.04194,0.8638,1.27022,0.89998,0.93317,0.93426,0.71671,0.80282,0.62801,1.04889,0.0011684,0.0011684,0.0011684
23,1280.59,1.02667,0.84912,1.28219,0.89288,0.98795,0.92162,0.72995,0.69918,0.57974,1.0048,0.0011288,0.0011288,0.0011288
24,1336.94,0.97689,0.79811,1.22477,0.90735,0.96296,0.94982,0.77529,0.69061,0.59299,0.99685,0.0010892,0.0010892,0.0010892
25,1395.58,0.97547,0.81909,1.22912,0.88392,0.95556,0.93428,0.73142,0.72487,0.56453,1.02638,0.0010496,0.0010496,0.0010496
26,1456.82,0.95873,0.79175,1.22421,0.89189,0.98519,0.9396,0.73334,0.71344,0.56549,0.9977,0.00101,0.00101,0.00101
27,1515.92,0.97942,0.81456,1.22587,0.88408,0.97037,0.94821,0.77331,0.65662,0.54823,0.97997,0.0009704,0.0009704,0.0009704
28,1577.54,0.98296,0.80835,1.22276,0.89826,0.981,0.94017,0.7465,0.7005,0.55154,1.0005,0.0009308,0.0009308,0.0009308
29,1634.47,0.93509,0.79546,1.22817,0.89009,0.95983,0.94814,0.7797,0.60973,0.53427,0.95724,0.0008912,0.0008912,0.0008912
30,1691.51,0.9206,0.78176,1.21176,0.91279,0.95556,0.94509,0.77662,0.64829,0.49999,0.96475,0.0008516,0.0008516,0.0008516
31,1749.28,0.91768,0.77073,1.20612,0.90903,0.96228,0.93853,0.77589,0.61393,0.49482,0.96483,0.000812,0.000812,0.000812
32,1804.79,0.87129,0.7685,1.18699,0.89703,0.98519,0.95147,0.77488,0.65275,0.52261,0.97181,0.0007724,0.0007724,0.0007724
33,1860.42,0.89797,0.76623,1.19399,0.91756,0.98929,0.95889,0.78309,0.6146,0.49162,0.95255,0.0007328,0.0007328,0.0007328
34,1916.44,0.92369,0.76582,1.19842,0.8967,0.99259,0.95237,0.80008,0.62253,0.49691,0.94966,0.0006932,0.0006932,0.0006932
35,1971.85,0.87628,0.73699,1.19233,0.905,0.99259,0.96056,0.80265,0.62344,0.49476,0.94401,0.0006536,0.0006536,0.0006536
36,2027.52,0.83266,0.74141,1.1596,0.90494,0.95556,0.95398,0.79106,0.61342,0.50723,0.96263,0.000614,0.000614,0.000614
37,2085.51,0.87775,0.73368,1.18656,0.89659,0.97778,0.95875,0.79588,0.61132,0.48111,0.95006,0.0005744,0.0005744,0.0005744
38,2142.01,0.88875,0.71809,1.19727,0.92278,0.97778,0.94893,0.81057,0.56671,0.45973,0.94423,0.0005348,0.0005348,0.0005348
39,2197.67,0.86071,0.73437,1.19332,0.92318,0.95556,0.93874,0.78015,0.59055,0.46258,0.946,0.0004952,0.0004952,0.0004952
40,2253.73,0.81644,0.68726,1.1515,0.92937,0.97469,0.95662,0.80001,0.56475,0.45045,0.94679,0.0004556,0.0004556,0.0004556
41,2309.61,0.55423,0.47981,0.97259,0.92412,0.99228,0.96112,0.81294,0.56031,0.44529,0.93532,0.000416,0.000416,0.000416
42,2364.34,0.58336,0.45907,0.98639,0.92343,0.99259,0.95497,0.82229,0.50877,0.4308,0.92229,0.0003764,0.0003764,0.0003764
43,2419.41,0.54785,0.44069,0.96919,0.93044,0.9908,0.95084,0.81123,0.5715,0.44237,0.94955,0.0003368,0.0003368,0.0003368
44,2474.97,0.55246,0.41723,0.98246,0.91587,0.98519,0.93911,0.81569,0.52374,0.44885,0.92569,0.0002972,0.0002972,0.0002972
45,2533.36,0.52689,0.40557,0.98659,0.91639,0.97424,0.93938,0.79611,0.55451,0.46394,0.92426,0.0002576,0.0002576,0.0002576
46,2590.31,0.49089,0.39025,0.9359,0.8979,0.98519,0.94433,0.81753,0.51712,0.4461,0.9141,0.000218,0.000218,0.000218
47,2647.44,0.49742,0.39814,0.93867,0.91156,0.9925,0.94759,0.81456,0.54152,0.44064,0.92806,0.0001784,0.0001784,0.0001784
48,2703.88,0.49496,0.38735,0.94266,0.91094,0.985,0.94806,0.81508,0.52921,0.43345,0.92127,0.0001388,0.0001388,0.0001388
49,2759.68,0.47062,0.37535,0.92769,0.91134,0.98988,0.94553,0.8213,0.50104,0.4185,0.91068,9.92e-05,9.92e-05,9.92e-05
50,2816.56,0.46263,0.3748,0.92417,0.91135,0.98991,0.94478,0.82124,0.49061,0.4236,0.90733,5.96e-05,5.96e-05,5.96e-05
